,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,experiment_id,structure_id,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
0,1,630532969,False,0.00313031696714461,7970,3660,3030,1.648677098952e-06,7.50452784359368e-07,2.97890928777633e-05,39.6948280334473,2.83044702529907e-08,183173527,27,2496501248.0,30789000.0,917.176391601562,23.1056900024414,0.037716525
1,2,630531530,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183173527,333,2800367872.0,16648200.0,0.0,0.0,0.020394045
2,3,630533481,False,0.0601838752627373,8130,6420,5690,8.11255120231967e-05,1.6415136774866e-05,0.00260682707342533,158.806296236091,1.39276189575195e-06,183173527,732,8588755968.0,69262200.0,180554.578125,1136.94848632812,0.084846195
3,1,630532285,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183173527,1023,57280819200.0,272100608.0,0.0,0.0,0.3333232448
4,3,630533247,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183173527,366,53123481600.0,275702400.0,0.0,0.0,0.33773544
5,1,630532606,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183173527,587,5799854592.0,41567400.0,0.0,0.0,0.050920065
6,1,630532135,False,0.217994689941406,8570,5820,5480,0.00113839185592106,0.000571724609471858,0.10015756636858,175.184997558594,1.9543898828125e-05,183173527,607344846,4498006016.0,27905400.0,2794937.0,15954.203125,0.034184115
7,1,630532729,False,0.177276134490967,5420,1060,3070,0.00544972285275876,4.50262587881034e-05,0.00667768551764729,148.306470432574,9.35607818359375e-05,183173527,369,409538996480.0,1696257928.0,11327077.0,76376.1484375,2.0779159618
8,1,630532426,False,0.362102389335632,6670,6650,4200,0.0349411709480196,0.000832376361358911,0.116002932190895,139.363555908203,0.0005998696375,183173527,848,7874334904.0,588302976.0,68244872.0,489689.5,0.7206711456
9,2,630532055,False,0.306035280227661,6190,1640,6580,0.00126388633836478,0.000534913619048893,0.233220875263214,435.997283935547,2.169838671875e-05,183173527,1085,2715532288.0,33113700.0,7722806.0,17712.96875,0.0405642825
10,3,630533433,False,0.0084949741140008,2020,2910,4080,6.4638320767889e-06,4.32719279938367e-07,7.02629766334348e-05,162.375424185958,1.10970997810364e-07,183173527,667,29799278592.0,209347200.0,14709.357421875,90.5885696411133,0.25645032
11,1,630532274,False,0.0248729698359966,13140,5180,5600,0.000104999448279603,4.00626777263824e-05,0.00232255505397916,57.9730377197266,1.80262937011719e-06,183173527,1039,2341211136.0,36730800.0,85309.3046875,1471.5341796875,0.04499523
12,3,630533550,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183173527,839,25857053696.0,156774592.0,0.0,0.0,0.1920488752
13,2,630531883,False,0.163204520940781,10020,2360,9360,0.000581086915091981,0.000493946776259691,0.207197338342667,419.472991943359,9.97609375e-06,183173527,869,3566968576.0,16487100.0,3416083.25,8143.75,0.0201966975
14,2,630531550,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183173527,358,2862130688.0,21245400.0,0.0,0.0,0.026025615
15,2,630531751,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183173527,675,14301356032.0,75567600.0,0.0,0.0,0.09257031
16,3,630533539,False,0.13252729177475,7570,2700,5640,0.00655932203274857,0.00012442826440502,0.0120194814562939,96.5976782989587,0.000112610368321204,183173527,824,47871880272.0,738793808.0,8879918.47528076,91926.8312826157,0.9050224148
17,2,630532064,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183173527,1096,26542198784.0,109921504.0,0.0,0.0,0.1346538424
18,3,630533733,False,0.0649730116128922,11130,7090,4940,0.000709687340265205,0.00011697320464214,0.0062813257467505,53.6988429612334,1.21839044311523e-05,183173527,1069,1486289152.0,85028400.0,534091.078125,9946.04443359375,0.10415979
19,2,630531674,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183173527,577,75194097664.0,235408496.0,0.0,0.0,0.2883754076
20,3,630533812,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183173527,560581559,18337487872.0,78899400.0,0.0,0.0,0.096651765
21,3,630533500,False,0.566769421100616,5170,1540,6370,0.0764127777079254,0.000263072246971674,0.163391962902297,621.091600437389,0.001311853725,183173527,767,1065092775936.0,4070748672.0,665127616.0,1070901.0,4.9866671232
22,3,630533730,False,0.399058938026428,11250,4140,9440,0.0320828156174471,9.77316088141861e-05,0.0166368931408145,170.230423326457,0.000550797424707031,183173527,1064,951742103552.0,4600666624.0,76540799.0,449630.55078125,5.6358166144
23,3,630533714,False,0.0474172085523605,9820,5280,5360,0.00100028741392767,3.09314734146385e-05,0.00203784222738971,65.8824815770104,1.71729232910156e-05,183173527,1043,8172007680.0,453218400.0,923587.59375,14018.712890625,0.55519254
24,3,630533018,False,0.350700050592422,7830,730,8000,0.0632243373265644,0.00336927121090498,1.50135567977977,445.602501490674,0.00108543472597656,183173527,41,49477836800.0,262985408.0,394834636.0,886069.1640625,0.3221571248
25,2,630531941,False,0.195043668150902,5960,620,6590,0.00150894750875553,1.27380199046456e-05,0.00588737847283483,462.189453125,2.59055941894531e-05,183173527,943,392058798080.0,1660181376.0,9774116.0,21147.423828125,2.0337221856
26,3,630533297,False,0.152051985263824,2490,3860,4480,0.00230159942671049,9.54674861312161e-05,0.0207988478217489,217.863155977122,3.95138335754394e-05,183173527,448,78081961984.0,337876192.0,7027435.5,32256.1906738281,0.4138983352
27,1,630532691,False,0.165531352162361,8580,440,4880,0.000760753788220657,2.43639478867408e-05,0.010221142321825,419.519134521484,1.30606126464844e-05,183173527,434,84875747328.0,437602496.0,4472797.5,10661.724609375,0.5360630576
28,3,630533217,False,0.23247218132019,4360,5090,1900,0.00270142355616224,4.54518403602841e-05,0.00852250950491344,187.506368000897,4.63780098205566e-05,183173527,328,155327897600.0,832960768.0,7098916.0625,37859.5998535156,1.0203769408
29,2,630531422,False,0.0786496177315712,1970,3120,6780,0.00103734152983854,0.000209167119464837,0.025417847558856,121.519325256348,1.78090679443359e-05,183173527,188,4259459840.0,69504304.0,1766649.75,14538.0146484375,0.0851427724
30,3,630533344,False,0.165499985218048,7140,5000,740,0.00352863809765558,0.000248332338870265,0.0385781614970483,155.348923432813,6.05796199462891e-05,183173527,540,25998818304.0,199139392.0,7682431.625,49452.7509765625,0.2439457552
31,3,630533241,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183173527,356,998570304.0,11210400.0,0.0,0.0,0.01373274
32,1,630532231,False,0.312772840261459,7560,6560,4480,0.0360514505503642,7.38562157494016e-05,0.0114479446783662,155.003128051758,0.00061893090546875,183173527,1097,993685524352.0,6840991232.0,78315288.0,505249.71875,8.3802142592
33,1,630532689,False,0.0813210234045982,12480,6670,3600,0.000631566053585632,1.06413554021856e-05,0.000870357092935592,81.7900619506836,1.08427190429687e-05,183173527,437,68900634624.0,831773696.0,723940.125,8851.19921875,1.0189227776
34,3,630533309,False,0.440983176231384,7860,1200,7570,0.00480617055760324,0.00267327736582657,1.04937088234827,392.540967040212,8.25122831298828e-05,183173527,469,3465917696.0,25196400.0,26440368.5,67356.9658203125,0.03086559
35,2,630532852,False,0.201294630765915,9950,2540,9490,0.00382907735554775,0.000309609837131575,0.133572921156883,431.42333984375,6.57375578125e-05,183173527,312782644,35267190784.0,173325600.0,23151606.0,53663.3125,0.21232386
36,2,630531381,False,0.131635934114456,7590,2900,5700,0.0166213490226622,0.000580855063162744,0.0669440031051636,115.250785827637,0.00028535513671875,183173527,129,11865090048.0,401034592.0,26846860.0,232942.96875,0.4912673752
37,2,630532011,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183173527,1023,56470409216.0,272100608.0,0.0,0.0,0.3333232448
38,3,630533225,False,0.393812865018845,8420,2570,5790,0.00133941662766962,0.000747946080196554,0.628367759210117,840.124409830435,2.29950898925781e-05,183173527,336,3466945280.0,25097400.0,15770397.0,18771.501953125,0.030744315
39,1,630532835,False,0.181884720921516,12320,4760,4830,0.00171357815225225,7.12450419086963e-05,0.0130038652569056,182.523086547852,2.94186908203125e-05,183173527,225,21334960128.0,337079712.0,4383339.0,24015.2578125,0.4129226472
40,2,630531699,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183173527,609,9610418176.0,59682600.0,0.0,0.0,0.073111185
41,3,630533622,False,0.479693830013275,5830,1370,5760,0.121082004751462,0.00311209212437368,1.46483890743257,470.692655901816,0.00207873452226562,183173527,935,119111340032.0,545268608.0,798730672.0,1696926.140625,0.6679540448
42,1,630532320,False,0.0697215497493744,12220,6690,4250,0.00322711947527825,0.000142017001053318,0.00810328125953674,57.0585327148438,5.54031515625e-05,183173527,978,11119014912.0,318462304.0,2580589.75,45227.0625,0.3901163224
43,3,630533743,False,0.203948557376862,9450,2750,3460,0.00710000244475707,0.000120608200082017,0.0242037653509791,200.680926624557,0.000121892763671875,183173527,1084,164040679424.0,825020992.0,19968614.5,99504.296875,1.0106507152
44,3,630533093,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183173527,156,33148608512.0,166084192.0,0.0,0.0,0.2034531352
45,3,630533472,True,1.0,8020,1010,8160,0.183465933978055,0.908940420030386,5212.79243186329,5735.02103877064,0.00314974113125,183173527,721,14962417664.0,2828807.25,14745985024.0,2571217.25,0.00346528888125
