,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,experiment_id,structure_id,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
0,2,629942689,False,0.0333616249263287,9410,6950,6830,9.26214532786739e-06,7.79494712332962e-06,0.000428884522989392,55.0208396911621,1.57240548400879e-06,175732001,122,11408220160.0,164670304.0,70624.546875,1283.59631347656,0.2017211224
1,2,629943084,False,0.603869199752808,8450,5780,8730,0.0279729806118616,4.10274014450857e-05,0.0182113197363199,443.881871502277,0.00474888555093426,175732001,695,20558974557208.3,94489076313.0,1720770780.32557,3876641.26606879,115.749118483425
2,2,629944147,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,175732001,312782608,32878147584.0,124375504.0,0.0,0.0,0.1523599924
3,3,629944629,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,175732001,451,73832730624.0,377492416.0,0.0,0.0,0.4624282096
4,3,629944896,False,0.579222857952118,8680,4850,6090,0.00114752687700349,0.000291656792655153,0.0310938016446109,106.610929104522,0.000194812053857422,175732001,863,10417848128.0,545265024.0,16954362.5,159030.248046875,0.6679496544
5,1,629943852,False,0.000280434906017035,4410,5230,1950,4.17857810370663e-09,2.16305950928586e-09,4.81020492770767e-07,222.379684448242,7.09384153783321e-10,175732001,694,65484365824.0,267717600.0,128.777648925781,0.579089105129242,0.32795406
6,1,629943807,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,175732001,760,5259958784.0,50563800.0,0.0,0.0,0.061940655
7,1,629944210,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,175732001,156,18955847680.0,83042096.0,0.0,0.0,0.1017265676
8,3,629944496,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,175732001,257,28800201728.0,136776608.0,0.0,0.0,0.1675513448
9,3,629944595,False,0.0396649837493896,12670,6800,7250,9.0500553779018e-05,6.84360769998644e-06,0.000331043463789766,48.3726534749241,1.53639963562012e-05,175732001,395,181880897536.0,1832664640.0,606691.650390625,12542.0378417969,2.245014184
10,3,629945058,False,0.0434177257120609,10990,4040,2110,6.88542995812425e-05,2.07408796066232e-06,0.000188523386040501,90.8945954154709,1.16891793884277e-05,175732001,1064,987477180416.0,4600666624.0,867333.25,9542.18725585938,5.6358166144
