,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,experiment_id,structure_id,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
0,2,628420048,False,0.705967128276825,7820,5120,8100,0.147895355635189,0.00170561065897346,0.26645764708519,156.224197387695,0.0438535545,158315810,1009,187872813125.023,20988858368.0,5592642048.0,35798820.0,25.7113515008
1,2,628419359,False,0.418199926614761,9630,4540,5880,0.000486026610791807,0.00607081968337297,0.54471617937088,89.7269592285156,0.000144115373828125,158315810,231,155256928.0,19378800.0,10555946.0,117645.203125,0.02373903
2,1,628421625,False,0.397651106119156,6620,5920,5590,0.000976396628930591,0.00256152031943202,0.461570024490356,180.193771362305,0.00028951864375,158315810,118,1791449600.0,92266200.0,42587312.0,236341.75,0.113026095
3,3,628424860,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,158315810,1038,112761413632.0,1166439552.0,0.0,0.0,1.4288884512
4,3,628423955,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,158315810,906,29281201152.0,371014208.0,0.0,0.0,0.4544924048
5,3,628423055,False,0.331099003553391,7240,5220,2840,0.00124727715269018,0.00129183242263739,0.374227075717231,289.687012927895,0.000369839447338867,158315810,551,24448648192.0,233706592.0,87459334.5,301909.752929688,0.2862905752
6,2,628419748,False,0.00318479700945318,4410,5400,9350,6.58771783882007e-08,5.95624065624634e-08,7.10092854205868e-06,119.218292236328,1.95337332963943e-08,158315810,694,20629966848.0,267717600.0,1901.04357910156,15.9459047317505,0.32795406
7,2,628420340,False,0.744750618934631,5240,4310,6430,0.0635778679791016,0.0563183762133121,13.9830894470215,248.28645324707,0.018851947625,158315810,266,25919219712.0,273256192.0,3820965888.0,15389345.0,0.3347388352
8,1,628420629,False,0.162347853183746,8560,4760,5430,0.000211387434928597,9.25393602255853e-05,0.00848541570734566,91.6952060902579,6.26800642822266e-05,158315810,1000,1307744622.53493,552925796.0,4691805.234375,51167.3994140625,0.6773341001
9,3,628422460,False,0.233318418264389,5720,3620,5860,8.59469819320485e-05,0.00111582578917798,0.402368060248654,360.601147733889,2.54847803710937e-05,158315810,338,482650800.0,18644400.0,7501911.0625,20803.90234375,0.02283939
10,3,628423981,False,0.0386926494538784,12800,5390,6170,1.02888803875768e-06,2.97164425407488e-05,0.00625386579294339,210.451361543958,3.05083263015747e-07,158315810,917,143438840.0,8380800.0,52412.3984375,249.047561645508,0.01026648
11,3,628425316,False,0.0040575722232461,7040,3160,8030,1.08191691032566e-07,6.94181968618666e-08,1.06030459369536e-05,152.741592497026,3.20807249069214e-08,158315810,496345668,12954670592.0,377254784.0,4000.0498046875,26.188346862793,0.4621371104
12,1,628420832,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,158315810,759,4025334784.0,33389100.0,0.0,0.0,0.0409016475
13,1,628421637,False,0.0708497688174248,12000,4890,3700,1.92129678476465e-05,7.14689804226509e-06,0.00143300672061741,200.507507324219,5.69698033447266e-06,158315810,108,5661485568.0,650715328.0,932479.4375,4650.59619140625,0.7971262768
14,1,628420686,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,158315810,954,11535315968.0,133981200.0,0.0,0.0,0.16412697
15,3,628424074,False,0.170734032988548,12100,6670,6630,1.67526285180402e-05,8.78531823197443e-06,0.00157277234438687,179.022808606149,4.96744677734375e-06,158315810,955,1230610880.0,461572192.0,725947.978515625,4055.05859375,0.5654259352
16,2,628419504,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,158315810,330,331875840.0,13954500.0,0.0,0.0,0.0170942625
17,1,628421141,False,0.140815392136574,8030,4350,4080,8.83318263500273e-05,0.000352167262462899,0.0583253167569637,165.618225097656,2.61919283691406e-05,158315810,422,741745216.0,60713100.0,3541110.75,21381.166015625,0.0743735475
18,1,628420546,False,0.0217092242091894,9000,3810,3280,7.3195279632526e-07,1.42422163662559e-06,0.000230014135013334,161.501647949219,2.17036780548096e-07,158315810,1079,3189921280.0,124399800.0,28613.712890625,177.172882080078,0.152389755
19,1,628420780,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,158315810,838,30807189504.0,288421184.0,0.0,0.0,0.3533159504
20,3,628423826,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,158315810,847,75745161216.0,642502784.0,0.0,0.0,0.7870659104
21,2,628420052,False,0.0836339667439461,7540,4600,8260,4.77071475923254e-05,4.90173883839152e-05,0.00980418947858125,200.014521414169,1.41460020025253e-05,158315810,1014,5455867696.0,235584904.0,2309719.03710938,11547.7567367554,0.2885915074
22,1,628420387,False,0.0761489048600197,8410,3180,3860,8.86020386253066e-06,2.31928806897486e-05,0.00387935689650476,167.264984130859,2.62720510253906e-06,158315810,1029,1229134592.0,92470496.0,358726.0625,2144.6572265625,0.1132763576
